"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Margin of Error"
"Total:","1,006","±207","1,884","±299","1,324","±273","2,871","±528","1,943","±518","992","±150"
"    16 to 19 years","13","±21","0","±14","34","±47","25","±33","0","±14","0","±14"
"    20 to 24 years","51","±38","133","±108","46","±24","157","±99","35","±50","52","±38"
"    25 to 44 years","742","±206","1,391","±272","862","±265","2,053","±532","1,136","±366","426","±96"
"    45 to 54 years","113","±74","140","±82","89","±59","259","±112","393","±338","289","±101"
"    55 to 59 years","41","±46","134","±98","110","±84","121","±61","190","±116","112","±79"
"    60 to 64 years","22","±30","57","±55","96","±54","161","±107","150","±105","47","±43"
"    65 years and over","24","±19","29","±33","87","±59","95","±71","39","±45","66","±48"
"    Car, truck, or van - drove alone:","273","±90","488","±180","374","±245","440","±158","666","±297","229","±119"
"        16 to 19 years","13","±21","0","±14","0","±14","0","±14","0","±14","0","±14"
"        20 to 24 years","0","±14","40","±49","0","±14","22","±36","18","±37","6","±11"
"        25 to 44 years","135","±63","375","±163","285","±235","338","±120","346","±265","85","±74"
"        45 to 54 years","70","±52","13","±20","24","±23","64","±61","65","±64","124","±91"
"        55 to 59 years","41","±46","0","±14","8","±11","0","±14","134","±117","13","±23"
"        60 to 64 years","0","±14","42","±51","26","±30","16","±26","67","±63","0","±14"
"        65 years and over","14","±18","18","±29","31","±43","0","±14","36","±45","1","±4"
"    Car, truck, or van - carpooled:","11","±20","52","±53","27","±32","198","±180","50","±71","8","±19"
"        16 to 19 years","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        20 to 24 years","0","±14","0","±14","0","±14","7","±13","0","±14","0","±14"
"        25 to 44 years","11","±20","21","±24","17","±27","191","±176","0","±14","8","±19"
"        45 to 54 years","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        55 to 59 years","0","±14","31","±47","0","±14","0","±14","0","±14","0","±14"
"        60 to 64 years","0","±14","0","±14","10","±16","0","±14","50","±71","0","±14"
"        65 years and over","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Public transportation (excluding taxicab):","244","±91","680","±201","271","±113","873","±217","422","±211","233","±87"
"        16 to 19 years","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        20 to 24 years","34","±30","40","±38","16","±14","115","±94","17","±31","19","±31"
"        25 to 44 years","175","±87","602","±198","207","±105","569","±176","337","±193","97","±50"
"        45 to 54 years","22","±26","12","±20","7","±11","59","±57","68","±97","26","±29"
"        55 to 59 years","0","±14","0","±14","0","±14","25","±34","0","±14","32","±56"
"        60 to 64 years","13","±21","15","±21","23","±34","69","±81","0","±14","22","±33"
"        65 years and over","0","±14","11","±17","18","±17","36","±37","0","±14","37","±35"
"    Walked:","179","±97","237","±158","251","±106","377","±145","172","±124","140","±58"
"        16 to 19 years","0","±14","0","±14","10","±18","25","±33","0","±14","0","±14"
"        20 to 24 years","0","±14","36","±58","13","±14","13","±15","0","±14","18","±22"
"        25 to 44 years","160","±95","59","±47","154","±90","225","±107","120","±108","9","±20"
"        45 to 54 years","9","±15","68","±70","18","±21","30","±35","39","±48","63","±46"
"        55 to 59 years","0","±14","74","±80","17","±19","38","±38","0","±14","22","±26"
"        60 to 64 years","0","±14","0","±14","28","±28","0","±14","13","±22","14","±23"
"        65 years and over","10","±14","0","±14","11","±16","46","±55","0","±14","14","±23"
"    Taxicab, motorcycle, bicycle, or other means:","125","±107","117","±90","148","±87","415","±424","57","±66","65","±49"
"        16 to 19 years","0","±14","0","±14","24","±32","0","±14","0","±14","0","±14"
"        20 to 24 years","17","±21","17","±26","17","±22","0","±14","0","±14","0","±14"
"        25 to 44 years","108","±106","89","±86","86","±53","318","±415","38","±62","65","±49"
"        45 to 54 years","0","±14","0","±14","12","±17","44","±42","0","±14","0","±14"
"        55 to 59 years","0","±14","11","±17","0","±14","38","±46","19","±26","0","±14"
"        60 to 64 years","0","±14","0","±14","9","±14","15","±23","0","±14","0","±14"
"        65 years and over","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"    Worked from home","174","±101","310","±150","253","±119","568","±232","576","±359","317","±107"
"        16 to 19 years","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"        20 to 24 years","0","±14","0","±14","0","±14","0","±14","0","±14","9","±22"
"        25 to 44 years","153","±95","245","±144","113","±90","412","±201","295","±165","162","±50"
"        45 to 54 years","12","±18","47","±44","28","±42","62","±54","221","±318","76","±52"
"        55 to 59 years","0","±14","18","±29","85","±80","20","±30","37","±60","45","±48"
"        60 to 64 years","9","±14","0","±14","0","±14","61","±55","20","±33","11","±19"
"        65 years and over","0","±14","0","±14","27","±29","13","±21","3","±5","14","±22"